date	prefix	url	message	context
2022-09-15	receptome.family	http://www.receptome.org/families/Frameset_family.asp?ProtType=Receptor&FamId=5.1	ConnectionError	HTTPConnectionPool(host='www.receptome.org', port=80): Max retries exceeded with url: /families/Frameset_family.asp?ProtType=Receptor&FamId=5.1 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11fa36ee0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
2022-09-15	rnamod	http://rna.rega.kuleuven.be/cgi-bin/rnamods/rnashow.pl?051	HTTP 404	404
2022-09-15	rnamods	http://mods.rna.albany.edu/mods/modifications/view/101	SSLError	HTTPSConnectionPool(host='mods.rna.albany.edu', port=443): Max retries exceeded with url: /mods/modifications/view/101 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1129)')))
2022-09-15	ro	http://purl.obolibrary.org/obo/RO_0002533	HTTP 404	404
2022-09-15	scholia.resource	https://bioregistry.io/metaregistry/scholia/doi	HTTP 404	404
2022-09-15	scop	http://scop.mrc-lmb.cam.ac.uk/scop/search.cgi?sunid=47419	HTTP 404	404
2022-09-15	scretf	http://stormo.wustl.edu/ScerTF/details/RSC3	ConnectionError	HTTPConnectionPool(host='stormo.wustl.edu', port=80): Max retries exceeded with url: /ScerTF/details/RSC3 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11f90d910>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
2022-09-15	sedml.format	https://sed-ml.org/urns.html#format:csv	SSLError	HTTPSConnectionPool(host='sed-ml.org', port=443): Max retries exceeded with url: /urns.html (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))
2022-09-15	sedml.language	https://sed-ml.org/urns.html#language:sbml.level-3.version-2	SSLError	HTTPSConnectionPool(host='sed-ml.org', port=443): Max retries exceeded with url: /urns.html (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))
2022-09-15	sigmaaldrich	https://www.sigmaaldrich.com/US/en/product/sigma/HPA000698	ReadTimeout	HTTPSConnectionPool(host='www.sigmaaldrich.com', port=443): Read timed out. (read timeout=15)
2022-09-15	signaling-gateway	http://www.signaling-gateway.org/molecule/query?afcsid=A001094	ConnectionError	HTTPConnectionPool(host='www.signaling-gateway.org', port=80): Max retries exceeded with url: /molecule/query?afcsid=A001094 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11f9455b0>: Failed to establish a new connection: [Errno 61] Connection refused'))
