prefix	name	homepage	description	uri_format
P11074	vPlants ID	https://vplants.org/portal/checklists/checklist.php?cl=3503&pid=93	identifier for a plant species, subspecies, or variety from the Chicago Region in the vPlants virtual herbarium	https://vplants.org/portal/taxa/index.php?taxauthid=1&taxon=$1&cl=3503
P11076	Biota Information System of New Mexico species ID	https://bison-m.org/	identifier for an animal species in the Biota Information System of New Mexico	https://bison-m.org/booklet.aspx?SpeciesID=$1
P11078	Naturbasen species ID	https://www.naturbasen.dk/	identifier for a species at Naturbasen	https://www.naturbasen.dk/art/$1
P11082	Woody Plants Database cultivar ID	http://woodyplants.cals.cornell.edu/home	identifier for a cultivar in the Woody Plants Database	https://woodyplants.cals.cornell.edu/cultivar/$1
P11083	Maryland Plant Atlas ID	https://www.marylandplantatlas.org/index.php	identifier for a plant species, subspecies, or variety in the Maryland Plant Atlas	https://www.marylandplantatlas.org/species.php?species=$1
P11084	Maryland Biodiversity Project species ID	https://www.marylandbiodiversity.com/	identifier for a species, subspecies, or variety in the Maryland Biodiversity Project database	https://www.marylandbiodiversity.com/view/$1
P11087	eGardenGo plant ID	https://www.egardengo.com/explore-plants	identifier for a plant taxon on eGardenGo	https://www.egardengo.com/plant/$1
P11092	Nebraska Invasive Species Program species ID	http://neinvasives.com/species	identifier for an invasive species in Nebraska on the Nebraska Invasive Species Program website	http://neinvasives.com/species/$1
P11096	LINCS small molecule ID	https://lincsportal.ccs.miami.edu/SmallMolecules	identifier for a small molecule on the LINCS database (Library of Integrated Network-based Cellular Signatures)	https://lincsportal.ccs.miami.edu/SmallMolecules/view/$1
P11111	Female Physicians in the German Empire and the Weimar Republic ID	https://geschichte.charite.de/aeik/liste.php	identifier in the database of female physicians in the German Empire and the Weimar Republic	https://geschichte.charite.de/aeik/biografie.php?ID=AEIK$1
P11114	Illinois Plants ID	https://wwv.inhs.illinois.edu/data/plantdb/	identifier for a taxon on the Illinois Plants website	https://wwv.inhs.illinois.edu/data/plantdb/detail/$1
P11143	WikiProjectMed ID	https://mdwiki.org/wiki/Category:RTT	identifier of a topic in WikiProjectMed	https://mdwiki.org/wiki/$1
P11160	Cannabis Database ID	https://cannabisdatabase.ca/	identifier for a chemical compound in the Cannabis Database	https://cannabisdatabase.ca/compounds/CDB$1
P11189	Louisiana Plant ID	http://www.rnr.lsu.edu/plantid/index.htm	identifier for a plant taxon on the Louisiana Plant Identification and Interactive Ecosystem Virtual Tours website	http://www.rnr.lsu.edu/plantid/species/$1.htm
P11267	Nomenclature de tous les noms de rosiers ID		"identifier of a rose cultivar in ""Nomenclature de tous les noms de roses, connus, avec indication de leur race, obtenteur, année de production, couleur et synonymes"", 2nd edition, by Léon Simon and Pierre Cochet"	
P11311	Lygaeoidea Species File ID (old)	http://lygaeoidea.speciesfile.org/Common/editTaxon/SearchForTaxon.aspx	identifier for a taxon on the Lygaeoidea Species File website	http://lygaeoidea.speciesfile.org/Common/basic/Taxa.aspx?TaxonNameID=$1
P11367	AHNMNH publication ID	http://publication.nhmus.hu/annales/cikkreszletes.php?idhoz=1411	identifier for a publication in the Annales Historico-Naturales Musei Nationalis Hungarici	http://publication.nhmus.hu/annales/cikkreszletes.php?idhoz=$1
P11375	CSD Refcode		Unique alphanumeric ID assigned by the CCDC to a crystal structure when it is added to the CSD	https://identifiers.org/csd:$1
P11378	DML-CZ publication ID	https://dml.cz/	identifier for a publication in DML-CZ (Czech Digital Mathematics Library)	https://dml.cz/handle/10338.dmlcz/$1
P11409	Plazi reference ID	https://plazi.org/	identifier corresponding to publications and scholarly articles relating to taxonomy, stored in Plazi	https://publication.plazi.org/GgServer/summary/$1
P11496	CiNii Research ID		19-digits identifier in CiNii Research	https://cir.nii.ac.jp/crid/$1
P11563	Real Academia de Doctores de España ID	https://www.radoctores.es/academicos.php?cat=N&estado=F	identifier for a member of the Real Academia de Doctores de España	https://www.radoctores.es/academico.php?item=$1
P11583	GLANSIS ID		identifier for a taxon in the Great Lakes Aquatic Nonindigenous Species Information System (GLANSIS)	https://nas.er.usgs.gov/queries/GreatLakes/FactSheet.aspx?Species_ID=$1
P11624	HAA member ID (former scheme)	https://mmakademia.hu/akademikusok	identifier of the data-sheet of members of the Hungarian Art Academy	https://mmakademia.hu/alkoto/-/record/$1
P11650	Moscow University Herbarium ID		ID for a taxon in the Moscow Digital Herbarium	https://plant.depo.msu.ru/open/public/search?division=P&searchBy=taxon&queryString=$1
P11680	eTK ID	https://cctr1.umkc.edu/cgi-bin/medievalacademy	identifier for Thorndike and Kibre, catalogs of incipits of medieval scientific writings in Latin	https://cctr1.umkc.edu/find/$db=eTK&ms=$1
P11681	eVK2 ID	https://cctr1.umkc.edu/cgi-bin/medievalacademy	identifier for Scientific and medical writings in Old and Middle English	https://cctr1.umkc.edu/find/$db=eVK2&ms=$1
P11691	Feminae record ID	https://inpress.lib.uiowa.edu/feminae/AdvancedSearch.aspx	numerical identifier for an entry on the Feminae website	https://inpress.lib.uiowa.edu/feminae/DetailsPage.aspx?Feminae_ID=$1
P11733	Treccani's Universo del corpo ID	https://www.treccani.it/enciclopedia/elenco-opere/Universo_del_Corpo	identifier for an item in Universo del corpo on the website of the Institute of the Italian Encyclopaedia	https://www.treccani.it/enciclopedia/$1_(Universo-del-Corpo)
P11776	Wood Database ID	https://www.wood-database.com/	identifier for a type of wood in The Wood Database	https://www.wood-database.com/$1/
P11803	World Arachnid Catalog ID		identifier for taxon in the World Arachnid Catalog	https://wac.nmbe.ch/lsid/$1
P11824	KPU Plant Database ID	https://plantdatabase.kpu.ca/#gsc.tab=0	identifier for a plant taxon in the KPU Plant Database of the Kwantlen Polytechnic University School of Horticulture	https://plantdatabase.kpu.ca/Plant/$1
P11829	Plant Finder ID (Chicago Botanic Garden)	https://www.chicagobotanic.org/plantcollections/plantfinder	identifier of a plant taxon in the Chicago Botanic Garden's Plant Finder database	https://www.chicagobotanic.org/plantcollections/plantfinder/$1
P11860	elibrary.ru article ID	https://www.elibrary.ru	identifier for separate publication at the eLibrary.Ru	https://www.elibrary.ru/item.asp?id=$1
P11901	NCI Dictionary of Cancer Terms entry		identifier for an entry in the NCI Dictionary of Cancer Terms	https://www.cancer.gov/publications/dictionaries/cancer-terms/def/$1
P11902	NCI Dictionary of Genetics Terms entry		identifier for an entry in the NCI Dictionary of Genetics Terms	https://www.cancer.gov/publications/dictionaries/genetics-dictionary/def/$1
P12049	National Register of Monumental Trees ID	https://bomen.meetnetportaal.nl	identifier in the registry of monumental trees in the Netherlands	https://bomen.meetnetportaal.nl/index.php?c=portal&mm=claim&m=custom&options=monumentale_bomen/claimformulier.xml&boomnr=$1
P12057	World Auchenorrhyncha Database ID	https://hoppers.speciesfile.org/	identifier for a taxon in the World Auchenorrhyncha Database (Hoppers Species File)	https://hoppers.speciesfile.org/otus/$1/overview
P12068	Matilda paper ID	https://matilda.huma-num.fr	identifier for a paper in Matilda	https://matilda.huma-num.fr/work/$1
P12091	DBpia article ID	https://www.dbpia.co.kr	identifier for an article in the DBpia database provided by Nurimedia	https://www.dbpia.co.kr/journal/articleDetail?nodeId=$1
P12100	FloraVeg.EU taxon ID	https://floraveg.eu/taxon	identifier for a plant taxon in the FloraVeg.EU online database	https://floraveg.eu/taxon/overview/$1
P12104	Royal Irish Academy ID	https://www.ria.ie/search?f%5B0%5D=type:bio	identifier of a person on the Royal Irish Academy's official website (ria.ie)	https://www.ria.ie/$1
P12113	Vascular Plants of Iowa species ID		identifier for a plant species in The Vascular Plants of Iowa website	https://uipress.lib.uiowa.edu/vpi/DetailsPage.aspx?species_id=$1
P12114	Flora of New Jersey Project atlas ID	https://www.njflora.org	identifier for a plant species in the Flora of New Jersey Project atlas	https://www.njflora.org/0/0/$1/
P12121	IBP 6-letter bird species alpha code	https://birdpop.org/docs/misc/IBPAOU.zip	standardized six-letter alphabetic code for bird species by the Institute for Bird Populations	
P12130	Aves de Chile ID		identifier for a bird species in the Aves de Chile database	https://www.avesdechile.cl/$1.htm
P12136	Indiana Plant Atlas ID	https://indiana.plantatlas.usf.edu/	identifier for a plant species, subspecies, or variety in the Indiana Plant Atlas	https://indiana.plantatlas.usf.edu/plant.aspx?id=$1
P12138	Tennessee-Kentucky Plant Atlas ID	https://tennessee-kentucky.plantatlas.usf.edu/	identifier for a plant species, subspecies, or variety in the Tennessee-Kentucky Plant Atlas	https://tennessee-kentucky.plantatlas.usf.edu/plant.aspx?id=$1
P12177	Minnesota Rare Species Guide ID	https://www.dnr.state.mn.us/rsg/index.html	identifier for an animal or plant species in the Minnesota Department of Natural Resources's Rare Species Guide	https://www.dnr.state.mn.us/rsg/profile.html?action=elementDetail&selectedElement=$1
P12178	Minnesota Plant List ID	https://www.minnesotawildflowers.info/page/plants-by-name	identifier for a plant species or variety in the Minnesota Plant List	https://www.minnesotawildflowers.info/$1
