prefix	name	homepage	description	uri_format
P10727	GeoSciML ID	http://geosciml.org/resource/def/voc/	Geoscience Vocabularies for Linked Data	http://resource.geosciml.org/classifier/cgi/$1
P10755	Baidu Scholar paper ID	https://xueshu.baidu.com	identifier for a scholarly article on Baidu Scholar, a Google Scholar-like academic search engine	https://xueshu.baidu.com/usercenter/paper/show?paperid=$1
P10770	netkeiba horse ID	https://db.netkeiba.com	identifier for a horse in netkeiba	https://db.netkeiba.com/horse/$1
P10778	CPNI ID		identifier for a plant in Chinese Plant Names Index database of Scientific Database of China Plant Species	https://db.kib.ac.cn/CNFlora/SearchResult.aspx?cpni=CPNI-$1
P10783	Umanity horse ID	https://umanity.jp/	identifier for the horse in Umanity	https://umanity.jp/racedata/db/horse_top.php?code=$1
P10785	JBIS horse ID	https://www.jbis.jp/	identifier for a race horse in the Japan Bloodstock Information System (JBIS)	https://www.jbis.jp/horse/$1/
P10791	PlantFiles taxon ID	https://davesgarden.com/guides/pf/	identifier for a taxon in the PlantFiles database	https://davesgarden.com/guides/pf/go/$1
P10792	Garden.org Plants Database ID	https://garden.org/plants/	identifier for a taxon in the Garden.org Plants Database	https://garden.org/plants/view/$1/
P10793	Woody Plants Database ID	https://woodyplants.cals.cornell.edu/home	identifier for a taxon in Cornell University's Woody Plants Database	https://woodyplants.cals.cornell.edu/plant/$1
P10794	Macaulay Library taxon ID	https://www.macaulaylibrary.org/	identifier for a bird, mammal, amphibian, or fish taxon in the Macaulay Library wildlife media archive	https://search.macaulaylibrary.org/catalog?taxonCode=$1
P10833	Great Plant Picks ID	https://www.greatplantpicks.org/	identifier for a plant listed in the Great Plant Picks website	https://www.greatplantpicks.org/search/plant-details/$1
P10835	UK Beetles ID	https://www.ukbeetles.co.uk/index	identifier for a beetle taxon on the UK Beetles website	https://www.ukbeetles.co.uk/$1
P10876	CVX vaccine code	https://www.findacode.com/cvx/index.html	code for a vaccine administered by the CDC's National Center for Immunization and Respiratory Diseases	https://www.findacode.com/cvx/$1.html
P10877	Applied Ecology Resources document ID	https://www.britishecologicalsociety.org/applied-ecology-resources/	identifier for a document in the Applied Ecology Resources database	https://www.britishecologicalsociety.org/applied-ecology-resources/document/$1/
P10897	ORKG ID	https://orkg.org/	Open Research Knowledge Graph (ORKG) ID	https://orkg.org/resource/$1
P10907	Paleobiology Database taxon ID	https://paleobiodb.org/	identifier for a fossil taxon in the Paleobiology Database	https://paleobiodb.org/classic/basicTaxonInfo?taxon_no=$1
P10910	Korean Academy of Science and Technology member ID	https://www.kast.or.kr/	identifier for a member of South Korea's Korean Academy of Science and Technology	https://www.kast.or.kr/kr/member/member_view.php?idx=$1
P10915	Associazione Italiana dei Paleografi e Diplomatisti member ID	https://www.paleografidiplomatisti.org/soci/	identifier for a paleographer or diplomatist in the website of the Italian Association of Paleographers and Diplomatists	https://www.paleografidiplomatisti.org/$1/
P10921	AEDA taxonomic keyword ID	http://www.environmentdata.org/plist/taxon/A/none/none	identifier for a taxon in the Agricultural and Environmental Data Archive (AEDA)	http://www.environmentdata.org/archive/fwltaxon:$1
P10931	ZOBODAT publication ID	https://www.zobodat.at/index.php	identifier of a publication in ZOBODAT	https://www.zobodat.at/publikation_articles.php?id=$1
P10943	Rare Plant Fact Sheets ID	https://oregonflora.org/pages/rare-plant-factsheets.php	identifier for a fact sheet describing a rare plant in Oregon	https://oregonflora.org/pages/content/$1.pdf
P10958	Jewish Pediatricians 1933-1945 ID		identifier for a pediatrician in the online database Jewish Pediatricians 1933-1945	https://www.dgkj.de/die-gesellschaft/geschichte/juedische-kinderaerztinnen-und-aerzte-1933-1945/suchergebnis-der-datenbank?tx_dgkjpaediatristsnsera_searchpaediastrists[action]=show&tx_dgkjpaediatristsnsera_searchpaediastrists[paediatristNSEra]=$1
P11022	Garden Plant Finder ID	https://plantfinder.nativeplanttrust.org/Plant-Search	identifier for a plant taxon from New England in the Garden Plant Finder database	https://plantfinder.nativeplanttrust.org/plant/$1
P11043	Hesperomys taxon ID	https://hesperomys.com/	identifier for a fossil taxon in the Hesperomys database	https://hesperomys.com/t/$1
P11044	Colorado Plant Database ID	https://coloradoplants.jeffco.us/PlantSearch	identifier for a plant taxon in the Colorado Plant Database	https://coloradoplants.jeffco.us/plant/details/$1
P11067	UConn Plant Database ID	https://plantdatabase.uconn.edu/	identifier for a woody landscape plant taxon in the UConn Plant Database	https://plantdatabase.uconn.edu/detail.php?pid=$1
