word	idf	rf_importance	lr_importance
undergoing	6.1606	0.0003	-0.255
electrocardiogram	8.4632	0.0003	-0.1436
dft	9.1564	0.0003	-0.1491
searches	8.7509	0.0003	-0.1579
scores	7.2105	0.0003	-0.2065
bioassay	8.4632	0.0003	0.2633
member	8.4632	0.0003	-0.1251
collaborative	6.3838	0.0003	0.0132
chemotherapy	6.2119	0.0003	-0.1866
lower	6.5914	0.0003	-0.2294
scenarios	7.7701	0.0003	-0.095
computing	6.8538	0.0003	-0.1095
change	6.5914	0.0003	-0.0933
node	6.6306	0.0003	-0.2103
individual	7.0163	0.0003	-0.2254
digestive	8.7509	0.0003	-0.1595
a1	9.1564	0.0003	-0.1147
sclerosing	8.2401	0.0003	-0.1239
natural	5.6599	0.0003	0.1699
toddlers	8.2401	0.0003	-0.0974
mld	9.1564	0.0003	-0.1359
myliobatoidei	9.1564	0.0003	-0.1451
recorded	8.2401	0.0003	-0.1491
