prefix	name	homepage	category	uri_format
LINCS_HMS	Harvard Medical School (HMS) LINCS Center	http://lincs.hms.harvard.edu/db/cells/	Cell line databases/resources	http://lincs.hms.harvard.edu/db/cells/$1
LINCS_LDP	LINCS Data Portal	http://lincsportal.ccs.miami.edu/cells/	Cell line databases/resources	http://lincsportal.ccs.miami.edu/cells/#/view/$1
Lonza	Lonza Cell and Transfection Database	https://knowledge.lonza.com	Cell line databases/resources	https://knowledge.lonza.com/cell?id=$1
MCCL	Molecular Connection Cell Line ontology	https://bioportal.bioontology.org/ontologies/MCCL	Ontologies	
Millipore	Merck Millipore (EMD Millipore)	https://www.merckmillipore.com/	Cell line collections	https://www.merckmillipore.com/catalogue/item/$1
NCBI_Iran	National Cell Bank of Iran	http://en.pasteur.ac.ir/pages.aspx?id=823	Cell line collections	
NCI-DTP	NCI Development Therapeutics Program	https://dtp.cancer.gov/repositories/	Cell line collections	
NHCDR	NINDS Human Cell and Data Repository	https://stemcells.nindsgenetics.org	Cell line collections	https://stemcells.nindsgenetics.org?line=$1
NISES	National Institute of Sericultural and Entomological Science Cell Database	https://web.archive.org/web/20160709065305/https://www.gene.affrc.go.jp/ex-nises/NISESCells/CellindexE1.html	Cell line collections	
PerkinElmer	PerkinElmer cell line collection	https://www.perkinelmer.com/	Cell line collections	https://www.perkinelmer.com/searchresult?searchName=$1
Progenetix	Cancer genome data @ progenetix.org	https://progenetix.org/	Polymorphism and mutation databases	https://progenetix.org/biosamples/by-curie/cellosaurus:$1
RSCB	Royan Stem Cell Bank	http://www.royaninstitute.org/cmsen/index.php?option=com_content&task=view&id=205&Itemid=40	Cell line collections	
SKY/M-FISH/CGH	SKY/M-FISH and CGH database	https://www.ncbi.nlm.nih.gov/dbvar/studies/nstd136/	Cell line databases/resources	
SLKBase	SUM Breast Cancer Cell Line Knowledge Base	https://sumlineknowledgebase.com/	Cell line databases/resources	https://sumlineknowledgebase.com/?page_id=$1
TCB	Tick Cell Biobank	https://www.pirbright.ac.uk/tick-cell-lines-views-page	Cell line collections	https://www.pirbright.ac.uk/node/$1
TNGB	Telethon Network of Genetic Biobanks	http://biobanknetwork.telethon.it/	Cell line collections	http://biobanknetwork.telethon.it/Sample/View?sampleId=$1
TOKU-E	TOKU-E Cell-culture Database	http://cell-lines.toku-e.com	Cell line databases/resources	http://cell-lines.toku-e.com/Cell-Lines_$1.html
WiCell	WiCell Research Institute Cell Collection	https://www.wicell.org	Cell line collections	https://www.wicell.org/home/stem-cells/catalog-of-stem-cell-lines/$1.cmsx?closable=true
Ximbio	Ximbio reagents online portal	https://ximbio.com	Cell line collections	https://ximbio.com/reagent/$1
