word	idf	rf_importance	lr_importance
uveitis	8.1711	0.0005	0.0036
conclusion	7.6603	0.0005	0.1723
enable	5.452	0.0005	0.3118
effect	5.1589	0.0005	-0.4876
coverage	5.4631	0.0005	0.3058
site	5.0071	0.0005	0.3355
cardiovascular	6.0509	0.0005	-0.3234
aware	7.1903	0.0005	-0.3745
status	5.6454	0.0005	-0.2664
driven	5.6191	0.0005	-0.2487
doco	8.5766	0.0005	0.3476
headings	9.2698	0.0005	0.2741
hashtag	9.2698	0.0005	0.188
cerevisiae	6.0509	0.0004	0.3458
particular	5.4411	0.0004	0.3489
describing	5.804	0.0004	0.2981
knowledgebase	6.2017	0.0004	0.254
integrative	5.9025	0.0004	0.281
time	5.0071	0.0004	0.1084
generation	5.6322	0.0004	0.1217
assisted	6.1128	0.0004	-0.3062
cmdb	9.2698	0.0004	0.1905
sts	7.6603	0.0004	0.0581
improving	5.7288	0.0004	0.1737
bacteria	6.0917	0.0004	0.2004
feat	9.2698	0.0004	0.2134
transcription	5.9025	0.0004	0.4586
reviewed	6.3794	0.0004	0.2943
liver	5.8198	0.0004	-0.3699
glycan	7.398	0.0004	0.2793
past	5.6588	0.0004	-0.1524
predicted	5.6322	0.0004	0.3777
proteomics	5.8198	0.0004	0.4603
designed	5.4196	0.0004	0.3237
future	5.3185	0.0004	0.2762
scholarly	8.1711	0.0004	0.1394
ensembl	5.6191	0.0004	0.6343
mammalian	6.4076	0.0004	0.3488
acid	5.7002	0.0004	0.1931
raw	6.6671	0.0004	0.1486
way	5.6588	0.0004	0.166
interactive	5.5809	0.0004	0.3029
implemented	5.7002	0.0004	0.2311
downloaded	5.9556	0.0004	0.1615
thoracic	6.4365	0.0004	-0.3195
tinnitus	8.5766	0.0004	0.2855
concepts	6.2017	0.0004	0.5124
whiplash	9.2698	0.0004	0.2273
overview	5.8358	0.0004	0.1467
searches	5.5685	0.0004	0.1902
network	4.6254	0.0004	0.0123
standardization	6.6671	0.0004	0.2022
allow	5.3089	0.0004	0.3201
approach	4.8509	0.0004	0.1989
allowing	5.8358	0.0004	0.2564
inducible	9.2698	0.0004	0.2056
sources	5.1922	0.0004	-0.0031
relational	6.1562	0.0004	0.3238
investigate	7.398	0.0004	0.1838
fungidb	8.3535	0.0004	0.2542
value	5.5935	0.0004	-0.1297
tree	6.2017	0.0004	-0.0253
nero	9.2698	0.0004	0.1079
dataset	6.0917	0.0004	0.304
various	5.1507	0.0004	0.4849
channel	7.1903	0.0004	0.2525
concept	6.2493	0.0004	0.2719
assessment	5.1109	0.0004	0.0832
evidence	4.7868	0.0004	0.3649
plant	5.3882	0.0004	0.3904
surgical	5.2093	0.0004	-0.3994
paper	5.4743	0.0004	0.2936
ongoing	5.9739	0.0004	0.2187
consistent	5.7288	0.0004	0.2191
stored	5.9739	0.0004	0.209
represents	5.9926	0.0004	0.2422
basic	5.7885	0.0004	0.1526
subsumption	8.5766	0.0004	0.1807
prevalence	5.852	0.0004	-0.2214
anatomical	5.8686	0.0004	0.4252
diverse	5.1922	0.0004	0.299
pest	9.2698	0.0004	0.2195
identify	5.3779	0.0004	0.2433
genetics	5.852	0.0004	0.0218
ebi	5.5321	0.0004	0.3772
labo	9.2698	0.0004	0.1857
share	6.5956	0.0004	0.1949
mass	5.6191	0.0004	0.0925
inchis	9.2698	0.0004	0.2134
fluorescent	8.8643	0.0004	0.2078
crowdsourcing	9.2698	0.0004	0.2273
understanding	5.1426	0.0004	0.2751
probresist	9.2698	0.0004	0.1913
geo	6.4076	0.0004	-0.1312
ocular	8.017	0.0004	-0.0187
repair	6.4076	0.0004	-0.3034
mining	5.0429	0.0004	-0.1212
complications	5.7002	0.0004	-0.4639
obo	5.7732	0.0004	0.343
target	5.2624	0.0004	0.4522
presented	6.1128	0.0004	0.1831
prokaryotic	6.5956	0.0004	-0.2154
syndrome	5.4631	0.0004	-0.6729
omics	6.1787	0.0004	0.3335
newly	5.8854	0.0004	0.1175
established	5.6191	0.0003	0.2373
blueprint	9.2698	0.0003	0.3212
representing	5.8358	0.0003	0.2841
agricultural	7.3238	0.0003	0.1401
virus	6.1787	0.0003	0.1025
hospital	4.7868	0.0003	-0.4019
hip	6.2252	0.0003	-0.4379
resistant	6.7048	0.0003	0.1681
peer	6.6307	0.0003	0.2454
discuss	6.0311	0.0003	0.278
recently	5.4631	0.0003	0.3182
functionality	6.1562	0.0003	0.0768
worldwide	5.7732	0.0003	0.3068
projects	5.2007	0.0003	0.51
multi	4.959	0.0003	0.0287
integrating	5.7144	0.0003	0.2041
gnome	9.2698	0.0003	0.1781
alignment	5.7732	0.0003	0.0691
family	5.2808	0.0003	0.2739
integrate	5.5935	0.0003	0.2517
atlas	6.1343	0.0003	0.1972
histone	7.8835	0.0003	0.2305
gaia	9.2698	0.0003	0.1931
shared	6.5617	0.0003	0.1164
discovery	5.3577	0.0003	0.3062
insights	5.2624	0.0003	-0.2731
screening	5.3986	0.0003	-0.1867
grw	9.2698	0.0003	-0.3939
list	6.1128	0.0003	0.3095
sun	8.5766	0.0003	0.2279
uk	4.9657	0.0003	0.3219
healthcare	4.4414	0.0003	-0.2989
predictions	6.0117	0.0003	0.3055
regions	5.5321	0.0003	0.2882
significant	5.6062	0.0003	0.2563
ii	5.6191	0.0003	0.1274
arthroplasty	6.4365	0.0003	-0.4042
facilitates	5.7885	0.0003	0.2437
groovdb	9.2698	0.0003	0.2056
advances	6.4076	0.0003	-0.1869
analyzing	6.2017	0.0003	0.2188
metabolic	5.5086	0.0003	0.2625
errors	6.9672	0.0003	-0.162
effects	5.4411	0.0003	-0.1115
findability	8.3535	0.0003	0.1434
oleracea	8.1711	0.0003	-0.0047
experimentally	5.6062	0.0003	0.3445
base	5.6724	0.0003	0.3601
quantum	7.8835	0.0003	-0.1793
china	5.4411	0.0003	-0.1163
need	5.2444	0.0003	-0.0126
ligand	6.1128	0.0003	0.3794
rg4	9.2698	0.0003	0.1476
natural	5.3779	0.0003	0.2758
supports	5.5935	0.0003	0.329
cross	4.6899	0.0003	0.0459
practice	5.5809	0.0003	-0.1921
domains	5.3379	0.0003	0.4632
transcripts	6.5956	0.0003	0.2114
fair	7.0185	0.0003	0.1877
global	5.0801	0.0003	0.0118
graph	6.2017	0.0003	0.0979
immunology	7.8835	0.0003	-0.348
analyses	5.0071	0.0003	0.1133
2023	9.2698	0.0003	0.1929
impacts	7.1297	0.0003	-0.0741
ophthalmology	8.5766	0.0003	0.2596
brain	5.7144	0.0003	-0.146
growth	5.3478	0.0003	0.0963
score	5.4743	0.0003	-0.3198
lettucegdb	9.2698	0.0003	0.1951
design	5.218	0.0003	0.2624
injury	5.5562	0.0003	-0.103
developments	5.5562	0.0003	0.2614
enrichment	6.274	0.0003	-0.5328
notation	9.2698	0.0003	0.1423
furthermore	6.2017	0.0003	0.2297
developmental	5.7288	0.0003	0.2555
critical	5.3986	0.0003	0.0963
advanced	5.7144	0.0003	0.195
authorship	8.5766	0.0003	0.1068
controlled	5.2716	0.0003	0.3224
represent	5.6588	0.0003	0.2744
biotechnology	6.2252	0.0003	0.1604
fabio	8.8643	0.0003	0.1201
recommender	9.2698	0.0003	-0.3256
cleaning	8.3535	0.0003	-0.3552
vessel	8.3535	0.0003	-0.383
teleost	8.3535	0.0003	0.235
japan	4.8753	0.0003	-0.3785
articles	6.1787	0.0003	0.3383
ion	7.2549	0.0003	0.1694
phishing	9.2698	0.0003	0.1766
distribution	5.7144	0.0003	-0.1259
pharmacovigilance	5.7002	0.0003	-0.6247
pattern	6.3794	0.0003	-0.2975
sound	7.6603	0.0003	0.0341
laryngology	9.2698	0.0003	0.188
regulation	5.852	0.0003	-0.1164
hybrid	6.7048	0.0003	-0.582
groups	5.2267	0.0003	0.3191
capsule	8.017	0.0003	-0.3045
brl	9.2698	0.0003	0.177
previously	5.804	0.0003	0.2394
assets	8.8643	0.0003	0.124
necessary	6.0917	0.0003	0.2007
state	5.7144	0.0003	-0.0134
levels	5.497	0.0003	0.1771
epigenomes	8.8643	0.0003	0.1063
1979	9.2698	0.0003	0.2468
prognosis	6.0311	0.0003	-0.1113
safety	5.5685	0.0003	-0.4503
identifiers	6.0917	0.0003	0.2948
brassica	8.017	0.0003	-0.0006
reaction	6.1787	0.0003	0.3502
aims	6.1787	0.0003	0.1984
composition	6.4972	0.0003	0.1347
total	5.3779	0.0003	-0.2471
drugs	5.409	0.0003	0.1899
enzyme	5.9926	0.0003	0.496
forum	8.3535	0.0003	0.1331
cardiothoracic	9.2698	0.0003	0.1681
students	6.2252	0.0003	-0.3972
setting	4.321	0.0003	-0.4818
entities	5.5086	0.0003	0.4762
effort	5.7885	0.0003	0.2213
definitions	5.8358	0.0003	0.3474
clusters	6.5289	0.0003	0.0407
crop	6.7849	0.0003	0.237
storage	6.4076	0.0003	0.1473
create	6.0711	0.0003	-0.0087
example	5.804	0.0003	0.2812
bogdb	9.2698	0.0003	0.218
icepo	9.2698	0.0003	0.1764
population	4.7425	0.0003	-0.2104
owl	5.9199	0.0003	0.3382
harmonize	8.017	0.0003	-0.4035
illness	6.8719	0.0003	-0.3519
biomanufacturing	8.8643	0.0003	0.1692
cohesindb	9.2698	0.0003	0.1073
indistinguishability	9.2698	0.0003	-0.2884
added	5.2093	0.0003	0.3478
process	5.2267	0.0003	0.3877
infrastructure	5.9199	0.0003	0.2278
lossless	9.2698	0.0003	-0.3942
collaborative	5.7582	0.0003	0.165
enzymes	5.8686	0.0003	0.3154
harbors	8.5766	0.0003	-0.1168
comparative	4.833	0.0003	0.1426
flow	6.352	0.0003	0.243
tumors	6.2493	0.0003	0.002
architecture	5.9025	0.0002	-0.0499
kidney	5.7434	0.0002	0.0033
relevant	5.1426	0.0002	0.3592
pulmonary	6.1128	0.0002	-0.4817
increased	5.2624	0.0002	0.1587
fathomnet	9.2698	0.0002	0.1723
ctd	8.8643	0.0002	0.23
names	5.852	0.0002	-0.0785
service	5.497	0.0002	0.2209
markers	6.4076	0.0002	-0.1074
benefit	6.5289	0.0002	0.1777
finally	5.804	0.0002	0.216
diabetic	7.398	0.0002	-0.3338
microbiome	7.398	0.0002	-0.2019
generated	5.409	0.0002	0.182
actionable	8.017	0.0002	-0.1252
accessed	5.452	0.0002	0.2668
shark	8.1711	0.0002	0.1952
unknown	7.1903	0.0002	-0.1905
properties	5.6454	0.0002	0.0638
searching	5.7582	0.0002	-0.0041
expressive	7.0725	0.0002	-0.2992
pluripotent	7.7657	0.0002	0.2248
conceptual	7.6603	0.0002	0.1125
isgn	9.2698	0.0002	0.1234
gummosis	9.2698	0.0002	0.1007
role	5.0726	0.0002	-0.1711
resistance	6.2252	0.0002	-0.0481
focused	5.8854	0.0002	0.215
spp	7.7657	0.0002	0.1702
plan	7.8835	0.0002	0.1485
inspection	8.3535	0.0002	-0.1941
extension	6.352	0.0002	0.3031
code	5.9556	0.0002	0.3306
upper	6.9184	0.0002	-0.1567
roles	6.2493	0.0002	0.2803
3d	5.8358	0.0002	0.0599
quadruplex	8.5766	0.0002	0.1365
piracema	9.2698	0.0002	0.1766
alive	8.8643	0.0002	0.1846
differences	5.852	0.0002	0.1294
exploration	6.0117	0.0002	0.1951
archiving	7.398	0.0002	0.1663
format	5.5809	0.0002	0.2726
food	5.409	0.0002	-0.4046
diabetes	5.5086	0.0002	-0.2231
dbest	8.8643	0.0002	0.2073
orcid	8.5766	0.0002	0.1721
digitoxin	9.2698	0.0002	0.1962
medicinal	6.6671	0.0002	0.1533
documenting	8.3535	0.0002	0.1908
highly	5.7434	0.0002	0.1176
algorithm	5.8198	0.0002	0.0045
sweet	8.3535	0.0002	0.2203
gliomarker	9.2698	0.0002	0.1628
environmental	5.2716	0.0002	0.008
experiences	6.5289	0.0002	-0.0137
plasmid	8.017	0.0002	0.142
electrophysiology	8.3535	0.0002	0.1674
examples	6.274	0.0002	0.2172
interventional	8.017	0.0002	0.1413
neurological	7.1297	0.0002	-0.1045
epidemiology	5.3089	0.0002	-0.4211
references	5.4743	0.0002	0.3838
electronic	5.497	0.0002	0.0379
pathways	5.2093	0.0002	0.6576
variants	5.4743	0.0002	0.1818
gotenzymes	9.2698	0.0002	0.1902
alternative	6.1343	0.0002	0.0547
cordifolia	9.2698	0.0002	0.1418
pricing	8.5766	0.0002	-0.2703
laboratory	5.804	0.0002	0.3048
query	5.1754	0.0002	0.1468
mildew	8.8643	0.0002	-0.2116
creation	6.4076	0.0002	0.1976
serves	6.1787	0.0002	0.1732
agodb	9.2698	0.0002	0.1196
stages	6.5956	0.0002	0.1449
history	6.2993	0.0002	0.0081
compression	8.017	0.0002	-0.338
